"Begin Time - ss.msec","End Time - ss.msec","*TIME","Motion","Mom Grab","RHInteract","LHGrasp","LHInteract","RHGrasp","Interact Comment","Mouth","Grasp Comment","Interact  Comment","Mom Grab Comment","Mon Grab comment","Interact comment","Motion Comment","Mouth Comment","Momgrab comment","Grasp comment","Motion comment","Momgrab","Mouth comment","motion comment","grasp comment","moith comment","interact comment","Mom action","Mom action comment","inInteract comment","mouth comment","RHinteract","LHinteract","Mom Actions","File","File Path"
130.608,131.126,,,"momgrab",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"001_07_061807_PO_babyhands_AM.eaf"
131.409,141.469,,,,,,,,,"am",,,,,,,,,,,,,,,,,,,,,,,,"001_07_061807_PO_babyhands_AM.eaf"
131.965,139.579,,"Shak-b",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"001_07_061807_PO_babyhands_AM.eaf"
132.61,134.112,,,"momgrab",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"001_07_061807_PO_babyhands_AM.eaf"
139.613,139.763,,"Drop",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"001_07_061807_PO_babyhands_AM.eaf"
141.901,142.499,,,"momgrab",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"001_07_061807_PO_babyhands_AM.eaf"
145.313,146.89,,,,,,"m",,,,,,,,,,,,,,,,,,,,,,,,,,,"001_07_061807_PO_babyhands_AM.eaf"
145.619,146.89,,,,,"mg",,,,,,,,,,,,,,,,,,,,,,,,,,,,"001_07_061807_PO_babyhands_AM.eaf"
146.116,146.903,,,"momgrab",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"001_07_061807_PO_babyhands_AM.eaf"
160.125,173.891,,,,,,"m",,,,,,,,,,,,,,,,,,,,,,,,,,,"001_07_061807_PO_babyhands_AM.eaf"
160.325,173.891,,,,,"mg",,,,,,,,,,,,,,,,,,,,,,,,,,,,"001_07_061807_PO_babyhands_AM.eaf"
160.399,161.466,,,,"m",,,"mg",,,,,,,,,,,,,,,,,,,,,,,,,,"001_07_061807_PO_babyhands_AM.eaf"
161.522,169.829,,"Shak-b",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"001_07_061807_PO_babyhands_AM.eaf"
172.808,192.609,,,,"a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"001_07_061807_PO_babyhands_AM.eaf"
174.025,188.715,,,,,,"a",,,,,,,,,,,,,,,,,,,,,,,,,,,"001_07_061807_PO_babyhands_AM.eaf"
174.328,188.715,,,,,"ag",,,,,,,,,,,,,,,,,,,,,,,,,,,,"001_07_061807_PO_babyhands_AM.eaf"
174.328,192.688,,,,,,,"ag",,,,,,,,,,,,,,,,,,,,,,,,,,"001_07_061807_PO_babyhands_AM.eaf"
174.918,179.991,,,,,,,,,"am",,,,,,,,,,,,,,,,,,,,,,,,"001_07_061807_PO_babyhands_AM.eaf"
189.524,196.693,,,,,,"i",,,,,,,,,,,,,,,,,,,,,,,,,,,"001_07_061807_PO_babyhands_AM.eaf"
