"Begin Time - ss.msec","End Time - ss.msec","Duration - ss.msec","*TIME","LHGrasp","RHInteract","RHGrasp","Interact Comment","LHInteract","Grasp Comment","LHinteract","File","File Path"
302.004,303.398,1.394,,,"i",,,,,,"001_08_071807_07172018EP_mathands_KC.eaf"
302.005,303.397,1.392,,,,"ig",,,,,"001_08_071807_07172018EP_mathands_KC.eaf"
350.303,362.394,12.091,,,"m",,,,,,"001_08_071807_07172018EP_mathands_KC.eaf"
350.4,362.396,11.996,,,,"mg",,,,,"001_08_071807_07172018EP_mathands_KC.eaf"
387.4,398.496,11.096,,,,"ig",,,,,"001_08_071807_07172018EP_mathands_KC.eaf"
387.404,398.496,11.092,,,"i",,,,,,"001_08_071807_07172018EP_mathands_KC.eaf"
388.405,399.894,11.489,,,,,,"i",,,"001_08_071807_07172018EP_mathands_KC.eaf"
388.405,399.898,11.493,,"ig",,,,,,,"001_08_071807_07172018EP_mathands_KC.eaf"
408.903,411.098,2.195,,,"a",,,,,,"001_08_071807_07172018EP_mathands_KC.eaf"
408.904,410.994,2.09,,,,"ag",,,,,"001_08_071807_07172018EP_mathands_KC.eaf"
411.705,413.495,1.79,,,"m",,,,,,"001_08_071807_07172018EP_mathands_KC.eaf"
411.805,413.497,1.692,,,,"mg",,,,,"001_08_071807_07172018EP_mathands_KC.eaf"
422.602,433.599,10.997,,,"m",,,,,,"001_08_071807_07172018EP_mathands_KC.eaf"
422.701,433.597,10.896,,,,"mg",,,,,"001_08_071807_07172018EP_mathands_KC.eaf"
422.705,423.496,0.791,,"mg",,,,,,,"001_08_071807_07172018EP_mathands_KC.eaf"
422.705,423.499,0.794,,,,,,"m",,,"001_08_071807_07172018EP_mathands_KC.eaf"
433.402,437.898,4.496,,,,,,"m",,,"001_08_071807_07172018EP_mathands_KC.eaf"
433.403,437.894,4.491,,"mg",,,,,,,"001_08_071807_07172018EP_mathands_KC.eaf"
458.829,459.582,0.753,"End Toy Play",,,,,,,,"001_08_071807_07172018EP_mathands_KC.eaf"
654.506,655.012,0.506,"END",,,,,,,,"001_08_071807_07172018EP_mathands_KC.eaf"

108.452,109.146,0.694,"START",,,,,,,,"002_08_090507_07192018EP_mathands_DH.eaf"
108.454,109.187,0.733,,"ig",,,,,,,"002_08_090507_07192018EP_mathands_DH.eaf"
108.454,109.268,0.814,,,,,,"i",,,"002_08_090507_07192018EP_mathands_DH.eaf"
109.626,112.095,2.469,,,"a",,,,,,"002_08_090507_07192018EP_mathands_DH.eaf"
109.726,112.068,2.342,,,,"ag",,,,,"002_08_090507_07192018EP_mathands_DH.eaf"
114.818,116.096,1.278,,,,,"OCC",,,,"002_08_090507_07192018EP_mathands_DH.eaf"
116.108,117.008,0.9,,,,,"under",,,,"002_08_090507_07192018EP_mathands_DH.eaf"
116.111,117.491,1.38,,,,"m",,,,,"002_08_090507_07192018EP_mathands_DH.eaf"
116.111,117.495,1.384,,,"m",,,,,,"002_08_090507_07192018EP_mathands_DH.eaf"
117.215,119.585,2.37,,,,,,"m",,,"002_08_090507_07192018EP_mathands_DH.eaf"
117.314,119.484,2.17,,"m",,,,,,,"002_08_090507_07192018EP_mathands_DH.eaf"
118.716,119.993,1.277,,,"a",,,,,,"002_08_090507_07192018EP_mathands_DH.eaf"
118.816,119.983,1.167,,,,"ag",,,,,"002_08_090507_07192018EP_mathands_DH.eaf"
154.824,156.091,1.267,,,,"m",,,,,"002_08_090507_07192018EP_mathands_DH.eaf"
154.824,156.175,1.351,,,"m",,,,,,"002_08_090507_07192018EP_mathands_DH.eaf"
155.308,156.795,1.487,,,,,,"a",,,"002_08_090507_07192018EP_mathands_DH.eaf"
155.507,156.788,1.281,,"ag",,,,,,,"002_08_090507_07192018EP_mathands_DH.eaf"
163.825,165.874,2.049,,,"a",,,,,,"002_08_090507_07192018EP_mathands_DH.eaf"
164.125,165.793,1.668,,,,"ag",,,,,"002_08_090507_07192018EP_mathands_DH.eaf"
