Begin,End,m_inf,i_inf,a_inf,Mom Actions,m_mom,i_mom,a_mom,File
495.657,511.939,,L,,,,,,012_08
520.549,523.368,,,,momforce,,,,012_08
520.552,523.368,Both,,,,,,,012_08
520.552,563.643,R,,,,,,,012_08
527.368,563.643,Both,,,,,,,012_08
527.368,563.899,L,,,,,,,012_08
562.8290000000001,563.899,,,,momgrab,,,,012_08
562.8290000000001,563.923,,,,momgrab,,,,012_08
112.027,114.99,R,,,,,,,014_08
112.029,114.792,Both,,,,,,,014_08
116.944,117.149,R,,,,,,,014_08
124.59100000000001,124.814,R,,,,,,,014_08
125.734,126.666,L,,,,,,,014_08
138.099,138.137,L,,,,,,,014_08
140.188,157.811,R,,,,,,,014_08
141.156,141.194,Both,,,,,,,014_08
143.791,147.841,L,,,,,,,014_08
156.52100000000002,156.961,L,,,,,,,014_08
159.672,160.22,,,,momgrab,,,,014_08
159.673,160.22,Both,,,,,,,014_08
159.673,163.963,R,,,,,,,014_08
160.66899999999998,163.534,Both,,,,,,,014_08
163.004,163.534,,,,momgrab,,,,014_08
163.004,163.757,,,,momgrab,,,,014_08
199.639,204.324,L,,,,,,,014_08
199.64,202.785,,,,momgrab,,,,014_08
202.787,204.595,R,,,,,,,014_08
210.516,213.986,R,,,,,,,014_08
210.58900000000003,213.59400000000002,Both,,,,,,,014_08
218.515,219.455,,,R,,,,,014_08
219.38400000000001,219.455,,,,momgrab,,,,014_08
219.38400000000001,219.479,,,,momgrab,,,,014_08
221.71200000000002,222.417,,,,momgrab,,,,014_08
221.71400000000003,222.417,,,Both,,,,,014_08
221.71400000000003,229.979,,,R,,,,,014_08
221.893,228.918,,,Both,,,,,014_08
250.153,254.893,,,R,,,,,014_08
256.314,268.79400000000004,,,L,,,,,014_08
265.743,268.79400000000004,,,Both,,,,,014_08
265.743,277.695,,,R,,,,,014_08
297.015,305.575,,L,,,,,,014_08
300.247,305.575,,Both,,,,,,014_08
300.247,311.06,,R,,,,,,014_08
309.60400000000004,311.06,,Both,,,,,,014_08
309.60400000000004,311.134,,L,,,,,,014_08
314.346,322.464,,L,,,,,,014_08
316.411,322.464,,Both,,,,,,014_08
316.411,324.596,,R,,,,,,014_08
331.67800000000005,335.218,L,,,,,,,014_08
332.69199999999995,335.218,Both,,,,,,,014_08
332.69199999999995,336.15,R,,,,,,,014_08
340.949,342.079,R,,,,,,,014_08
343.61300000000006,347.57300000000004,R,,,,,,,014_08
350.86800000000005,354.561,R,,,,,,,014_08
351.819,353.89099999999996,Both,,,,,,,014_08
364.316,368.661,,,R,,,,,014_08
364.395,368.17,,,Both,,,,,014_08
378.264,378.847,,L,,,,,,014_08
378.48,378.847,,Both,,,,,,014_08
378.48,379.31199999999995,,R,,,,,,014_08
392.167,394.48,,R,,,,,,014_08
394.358,394.48,,,,momgrab,,,,014_08
394.358,395.435,,,,momgrab,,,,014_08
399.19300000000004,402.105,R,,,,,,,014_08
411.99199999999996,412.504,,R,,,,,,014_08
413.13199999999995,413.63199999999995,,L,,,,,,014_08
419.657,421.10900000000004,,,L,,,,,014_08
470.474,472.879,R,,,,,,,014_08
472.49699999999996,472.879,Both,,,,,,,014_08
472.49699999999996,473.344,L,,,,,,,014_08
474.972,476.60400000000004,R,,,,,,,014_08
476.23400000000004,476.60400000000004,Both,,,,,,,014_08
476.23400000000004,477.77099999999996,L,,,,,,,014_08
477.44199999999995,477.77099999999996,Both,,,,,,,014_08
477.44199999999995,481.13199999999995,R,,,,,,,014_08
478.658,480.031,Both,,,,,,,014_08
506.792,507.33,R,,,,,,,014_08
511.80800000000005,512.823,L,,,,,,,014_08
88.296,91.35,L,,,,,,,015_08
88.307,91.35,,,Both,,,,,015_08
88.307,93.70299999999999,,,R,,,,,015_08
90.82700000000001,91.35,,,,momgrab,,,,015_08
97.811,99.20100000000001,,,L,,,,,015_08
97.961,99.19,,,,momgrab,,,,015_08
100.32799999999999,100.677,L,,,,,,,015_08
101.906,117.334,,,L,,,,,015_08
116.766,117.334,,,Both,,,,,015_08
116.766,121.896,,,R,,,,,015_08
121.215,121.89299999999999,,,,momgrab,,,,015_08
132.024,137.279,L,,,,,,,015_08
137.006,137.279,,,,momgrab,,,,015_08
137.006,137.29399999999998,,,,momgrab,,,,015_08
137.844,193.972,,,L,,,,,015_08
139.52,177.49,,,Both,,,,,015_08
178.62400000000002,194.08599999999998,,,R,,,,,015_08
193.63299999999998,194.08599999999998,,,,momgrab,,,,015_08
193.63299999999998,194.09,,,,momgrab,,,,015_08
214.01,215.35299999999998,,R,,,,,,015_08
216.517,279.51599999999996,,,L,,,,,015_08
278.593,279.51599999999996,,,,momgrab,,,,015_08
278.593,279.519,,,,momgrab,,,,015_08
285.704,288.939,L,,,,,,,015_08
288.119,288.939,,,,momgrab,,,,015_08
288.119,288.945,,,,momgrab,,,,015_08
295.121,296.074,,,R,,,,,015_08
295.519,296.074,Both,,,,,,,015_08
295.519,350.74300000000005,L,,,,,,,015_08
350.32800000000003,350.74300000000005,,,,momgrab,,,,015_08
350.32800000000003,350.751,,,,momgrab,,,,015_08
364.81800000000004,376.981,,,L,,,,,015_08
376.648,376.981,,,,momgrab,,,,015_08
376.648,376.99699999999996,,,,momgrab,,,,015_08
381.403,404.939,,,L,,,,,015_08
381.413,384.94300000000004,,,,momgrab,,,,015_08
404.417,404.94,,,,momgrab,,,,015_08
406.704,412.881,,,R,,,,,015_08
412.61300000000006,412.881,,,Both,,,,,015_08
412.61300000000006,413.667,,,L,,,,,015_08
414.902,420.92699999999996,L,,,,,,,015_08
426.625,429.88,,R,,,,,,015_08
431.68199999999996,450.029,,L,,,,,,015_08
433.524,450.029,,Both,,,,,,015_08
433.524,453.68300000000005,,R,,,,,,015_08
456.82099999999997,457.881,L,,,,,,,015_08
457.629,457.881,,,,momgrab,,,,015_08
457.629,457.898,,,,momgrab,,,,015_08
465.408,465.569,,L,,,,,,015_08
468.028,473.606,,,L,,,,,015_08
470.009,473.606,,,Both,,,,,015_08
470.009,473.60699999999997,,,R,,,,,015_08
476.73,477.224,,,,momgrab,,,,015_08
88.015,109.581,R,,,,,,,016_08
110.184,114.755,,L,,,,,,016_08
110.383,112.081,,Both,,,,,,016_08
113.075,159.954,R,,,,,,,016_08
115.32799999999999,116.194,Both,,,,,,,016_08
158.989,159.982,,,L,,,,,016_08
159.514,159.982,,,,momgrab,,,,016_08
159.514,160.04399999999998,,,,momgrab,,,,016_08
165.3,177.697,L,,,,,,,016_08
167.104,177.697,Both,,,,,,,016_08
167.104,195.34400000000002,R,,,,,,,016_08
185.707,191.783,Both,,,,,,,016_08
194.709,195.49400000000003,,,,momgrab,,,,016_08
196.94299999999998,409.666,R,,,,,,,016_08
197.553,202.668,Both,,,,,,,016_08
208.11700000000002,208.775,L,,,,,,,016_08
211.673,214.081,L,,,,,,,016_08
217.06599999999997,218.105,,,L,,,,,016_08
240.083,244.767,,,L,,,,,016_08
246.636,247.676,,,L,,,,,016_08
251.34,266.95599999999996,L,,,,,,,016_08
269.848,271.392,,,,momgrab,,,,016_08
271.92900000000003,285.33799999999997,L,,,,,,,016_08
286.444,288.37,,,L,,,,,016_08
294.303,296.796,L,,,,,,,016_08
301.04400000000004,303.198,,,L,,,,,016_08
311.445,313.422,,,L,,,,,016_08
315.563,317.161,L,,,,,,,016_08
329.327,332.176,,,L,,,,,016_08
332.30400000000003,342.99300000000005,L,,,,,,,016_08
343.55699999999996,349.621,,,L,,,,,016_08
351.31,353.478,L,,,,,,,016_08
378.731,380.14,,,L,,,,,016_08
384.908,385.19,L,,,,,,,016_08
399.001,403.034,,,L,,,,,016_08
403.18199999999996,404.05400000000003,L,,,,,,,016_08
408.18699999999995,410.73,,,L,,,,,016_08
410.03,410.73,,,Both,,,,,016_08
410.03,413.265,,,R,,,,,016_08
411.44800000000004,413.265,Both,,,,,,,016_08
411.44800000000004,414.483,L,,,,,,,016_08
413.93300000000005,414.483,Both,,,,,,,016_08
413.93300000000005,519.702,R,,,,,,,016_08
426.461,428.36199999999997,,,Both,,,,,016_08
460.043,461.353,,,L,,,,,016_08
473.284,478.48800000000006,,,L,,,,,016_08
484.936,489.91,,,L,,,,,016_08
520.466,521.285,,R,,,,,,016_08
522.524,525.007,R,,,,,,,016_08
525.191,526.477,,,L,,,,,016_08
527.98,529.114,,L,,,,,,016_08
528.4780000000001,529.062,,Both,,,,,,016_08
529.351,530.6669999999999,R,,,,,,,016_08
102.999,174.422,,,L,,,,,017_08
111.227,113.898,,,Both,,,,,017_08
125.603,132.778,,,R,,,,,017_08
127.855,129.455,,,,momgrab,,,,017_08
138.51,140.043,,,,momgrab,,,,017_08
141.583,144.428,,,R,,,,,017_08
165.93200000000002,168.455,,,R,,,,,017_08
172.14,177.97299999999998,,,R,,,,,017_08
176.50900000000001,177.97299999999998,,,Both,,,,,017_08
176.50900000000001,181.14700000000002,,,L,,,,,017_08
179.96599999999998,181.14700000000002,,,Both,,,,,017_08
179.96599999999998,202.66299999999998,,,R,,,,,017_08
187.308,190.49599999999998,,,Both,,,,,017_08
194.858,206.287,,,L,,,,,017_08
203.9,206.287,,,,momgrab,,,,017_08
203.9,206.28799999999998,,,,momgrab,,,,017_08
206.516,217.731,,R,,,,,,017_08
212.22,217.731,Both,,,,,,,017_08
212.22,217.78400000000002,L,,,,,,,017_08
220.75099999999998,234.173,L,,,,,,,017_08
221.40099999999998,229.167,,Both,,,,,,017_08
237.46200000000002,238.845,,R,,,,,,017_08
243.503,255.919,R,,,,,,,017_08
262.616,301.563,,,L,,,,,017_08
267.12,270.959,,,Both,,,,,017_08
273.247,274.69,,,R,,,,,017_08
288.123,289.728,,,R,,,,,017_08
303.649,311.51099999999997,,,R,,,,,017_08
308.308,311.51099999999997,,,Both,,,,,017_08
308.308,318.23400000000004,,,L,,,,,017_08
317.269,318.23400000000004,,,Both,,,,,017_08
317.269,323.79,,,R,,,,,017_08
321.26,323.79,,,Both,,,,,017_08
321.26,338.389,,,L,,,,,017_08
325.785,330.952,,,Both,,,,,017_08
335.704,343.009,,,R,,,,,017_08
339.723,343.009,,,Both,,,,,017_08
339.723,373.348,,,L,,,,,017_08
345.60900000000004,354.336,,,Both,,,,,017_08
364.952,376.546,,R,,,,,,017_08
370.522,373.555,,,,momgrab,,,,017_08
374.44199999999995,388.778,,L,,,,,,017_08
429.764,446.75699999999995,,R,,,,,,017_08
447.76300000000003,463.37699999999995,,R,,,,,,017_08
465.684,503.965,,L,,,,,,017_08
466.251,475.619,,Both,,,,,,017_08
479.51099999999997,496.98800000000006,,R,,,,,,017_08
502.593,507.208,,R,,,,,,017_08
505.469,507.208,,Both,,,,,,017_08
505.469,508.409,,L,,,,,,017_08
110.30799999999999,117.28200000000001,R,,,,,,,019_08
110.30799999999999,118.786,L,,,,,,,019_08
120.20299999999999,133.329,R,,,,,,,019_08
121.934,129.499,Both,,,,,,,019_08
139.879,144.719,L,,,,,,,019_08
141.254,144.719,Both,,,,,,,019_08
141.254,145.179,R,,,,,,,019_08
148.601,149.071,,,,momforce,,,,019_08
148.60299999999998,149.071,Both,,,,,,,019_08
148.60299999999998,151.571,L,,,,,,,019_08
155.872,160.388,L,,,,,,,019_08
156.431,160.388,Both,,,,,,,019_08
156.431,178.24099999999999,R,,,,,,,019_08
165.988,170.641,Both,,,,,,,019_08
174.525,178.363,L,,,,,,,019_08
178.018,178.363,,,,momgrab,,,,019_08
178.018,178.49400000000003,,,,momgrab,,,,019_08
183.736,186.293,,,,momforce,,,,019_08
184.31,186.293,,Both,,,,,,019_08
184.31,193.94,,L,,,,,,019_08
185.757,193.94,,Both,,,,,,019_08
185.757,204.995,,R,,,,,,019_08
197.12099999999998,204.375,,Both,,,,,,019_08
208.18900000000002,208.421,R,,,,,,,019_08
216.047,226.873,R,,,,,,,019_08
227.546,242.799,,,L,,,,,019_08
228.24099999999999,242.799,,,Both,,,,,019_08
228.24099999999999,349.546,,,R,,,,,019_08
251.25900000000001,257.722,,,Both,,,,,019_08
274.462,294.29400000000004,,,L,,,,,019_08
296.16700000000003,299.16,,,,momgrab,,,,019_08
308.13599999999997,309.77299999999997,,,L,,,,,019_08
315.52099999999996,354.152,,,L,,,,,019_08
325.082,327.368,,,,momgrab,,,,019_08
351.494,355.88199999999995,,,R,,,,,019_08
351.601,352.548,,,,momgrab,,,,019_08
354.32599999999996,356.031,,,,momgrab,,,,019_08
357.79,361.154,R,,,,,,,019_08
365.25199999999995,374.181,,,L,,,,,019_08
367.50199999999995,373.629,,,Both,,,,,019_08
376.931,379.918,,,,momforce,,,,019_08
378.602,379.918,,,Both,,,,,019_08
378.602,409.526,,,R,,,,,019_08
380.077,388.99,,,Both,,,,,019_08
402.24300000000005,411.272,,,L,,,,,019_08
427.267,429.244,R,,,,,,,019_08
430.223,433.583,R,,,,,,,019_08
430.755,433.575,Both,,,,,,,019_08
440.709,448.76,R,,,,,,,019_08
442.73699999999997,448.126,Both,,,,,,,019_08
453.17,455.032,R,,,,,,,019_08
453.501,454.849,Both,,,,,,,019_08
461.024,477.04900000000004,L,,,,,,,019_08
461.045,477.04900000000004,Both,,,,,,,019_08
461.045,477.973,R,,,,,,,019_08
486.48400000000004,496.23900000000003,L,,,,,,,019_08
486.841,496.027,Both,,,,,,,019_08
505.233,506.352,,,,momforce,,,,019_08
505.651,506.352,,Both,,,,,,019_08
505.651,512.77,,R,,,,,,019_08
506.555,512.77,,Both,,,,,,019_08
506.555,521.121,,L,,,,,,019_08
518.5219999999999,521.121,,,,momforce,,,,019_08
518.5219999999999,526.2769999999999,,,,momforce,,,,019_08
51.25899999999999,58.433,,,R,,,,,020_08
55.45399999999999,55.674,,,,momgrab,,,,020_08
59.153999999999996,76.164,,,L,,,,,020_08
62.001000000000005,76.164,,,Both,,,,,020_08
62.001000000000005,435.8,,,R,,,,,020_08
88.958,91.13799999999999,,,,momgrab,,,,020_08
94.05,94.35,L,,,,,,,020_08
126.755,128.725,,,L,,,,,020_08
192.84,194.78,L,,,,,,,020_08
197.979,199.199,,,L,,,,,020_08
203.514,208.47400000000002,,L,,,,,,020_08
210.229,210.61900000000003,L,,,,,,,020_08
213.429,217.359,,L,,,,,,020_08
217.967,219.55700000000002,,,,momgrab,,,,020_08
219.28900000000002,219.55700000000002,,Both,,,,,,020_08
219.28900000000002,221.699,,L,,,,,,020_08
220.87099999999998,221.699,,,,momgrab,,,,020_08
220.87099999999998,221.861,,,,momgrab,,,,020_08
223.65900000000002,224.87900000000002,,L,,,,,,020_08
228.878,233.99900000000002,,L,,,,,,020_08
276.497,277.756,L,,,,,,,020_08
280.564,285.654,L,,,,,,,020_08
281.269,283.73900000000003,,,,momgrab,,,,020_08
291.757,293.257,L,,,,,,,020_08
294.84,302.22,,L,,,,,,020_08
301.99,302.22,,,,momforce,,,,020_08
301.99,302.32,,,,momforce,,,,020_08
304.329,306.66900000000004,,L,,,,,,020_08
304.991,306.66900000000004,,,,momgrab,,,,020_08
304.991,307.631,,,,momgrab,,,,020_08
311.817,316.677,,L,,,,,,020_08
313.607,314.597,,,,momgrab,,,,020_08
319.842,320.782,,L,,,,,,020_08
351.061,353.27099999999996,,,L,,,,,020_08
365.83099999999996,390.121,L,,,,,,,020_08
370.23400000000004,371.962,,,,momgrab,,,,020_08
375.246,376.226,,,,momgrab,,,,020_08
417.611,430.971,L,,,,,,,020_08
106.0,114.37299999999999,R,,,,,,,021_08
112.852,114.37299999999999,,,Both,,,,,021_08
112.852,117.34899999999999,,,L,,,,,021_08
113.257,114.579,,,,momgrab,,,,021_08
119.911,132.694,L,,,,,,,021_08
124.515,127.985,Both,,,,,,,021_08
132.247,135.865,R,,,,,,,021_08
134.05200000000002,135.865,Both,,,,,,,021_08
134.05200000000002,162.968,L,,,,,,,021_08
158.463,162.968,Both,,,,,,,021_08
158.463,165.99599999999998,R,,,,,,,021_08
164.35,165.99599999999998,,,,momgrab,,,,021_08
164.35,166.014,,,,momgrab,,,,021_08
169.658,182.28099999999998,,R,,,,,,021_08
172.843,179.15900000000002,,Both,,,,,,021_08
186.072,199.35,,R,,,,,,021_08
192.567,199.35,,Both,,,,,,021_08
192.567,202.56,,L,,,,,,021_08
215.82,224.513,,,R,,,,,021_08
231.063,235.489,,,R,,,,,021_08
232.583,235.489,,,Both,,,,,021_08
232.583,293.2,,,L,,,,,021_08
237.9,246.762,,,Both,,,,,021_08
248.081,279.83,,,R,,,,,021_08
285.45799999999997,303.092,,,R,,,,,021_08
296.584,303.092,,,Both,,,,,021_08
296.584,306.388,,,L,,,,,021_08
307.846,311.578,L,,,,,,,021_08
310.079,311.578,,,,momgrab,,,,021_08
310.079,311.623,,,,momgrab,,,,021_08
315.83799999999997,322.536,,,L,,,,,021_08
342.07800000000003,351.61199999999997,,,L,,,,,021_08
345.21,346.94800000000004,,,Both,,,,,021_08
351.08099999999996,358.30800000000005,,,R,,,,,021_08
355.56300000000005,358.30800000000005,,,Both,,,,,021_08
355.56300000000005,367.42,,,L,,,,,021_08
365.291,367.42,,,Both,,,,,021_08
365.291,369.472,,,R,,,,,021_08
370.708,423.38199999999995,,,R,,,,,021_08
373.62,400.374,,,Both,,,,,021_08
422.24800000000005,424.36199999999997,,,L,,,,,021_08
425.506,433.605,,L,,,,,,021_08
430.39099999999996,433.605,,Both,,,,,,021_08
430.39099999999996,444.5,,R,,,,,,021_08
435.99699999999996,436.655,,,Both,,,,,021_08
440.69300000000004,454.397,,L,,,,,,021_08
445.925,449.999,,Both,,,,,,021_08
457.11800000000005,460.89599999999996,,R,,,,,,021_08
463.55300000000005,469.24699999999996,,R,,,,,,021_08
467.583,469.24699999999996,,Both,,,,,,021_08
467.583,471.583,,L,,,,,,021_08
470.85900000000004,471.583,,,,momgrab,,,,021_08
470.85900000000004,471.865,,,,momgrab,,,,021_08
474.343,477.69800000000004,,L,,,,,,021_08
478.335,484.469,,R,,,,,,021_08
479.75300000000004,484.469,,Both,,,,,,021_08
479.75300000000004,485.876,,L,,,,,,021_08
501.11300000000006,513.8340000000001,L,,,,,,,021_08
504.88599999999997,513.8340000000001,Both,,,,,,,021_08
504.88599999999997,537.616,R,,,,,,,021_08
517.087,534.751,Both,,,,,,,021_08
107.30799999999999,111.32600000000001,,L,,,,,,022_08
107.30799999999999,121.934,,R,,,,,,022_08
117.30799999999999,121.934,,Both,,,,,,022_08
117.30799999999999,125.17200000000001,,L,,,,,,022_08
124.055,125.17200000000001,,Both,,,,,,022_08
124.055,144.572,,R,,,,,,022_08
129.142,135.381,,Both,,,,,,022_08
139.795,158.075,,L,,,,,,022_08
156.531,158.075,,Both,,,,,,022_08
156.531,175.965,,R,,,,,,022_08
173.667,175.965,,,Both,,,,,022_08
173.667,181.88400000000001,,,L,,,,,022_08
174.88299999999998,176.016,,,,momgrab,,,,022_08
176.94799999999998,220.37400000000002,,,R,,,,,022_08
186.535,191.074,,,Both,,,,,022_08
193.953,211.78,,,L,,,,,022_08
217.305,225.22299999999998,,,L,,,,,022_08
221.99900000000002,225.22299999999998,,,Both,,,,,022_08
221.99900000000002,279.757,,,R,,,,,022_08
240.74900000000002,249.49900000000002,,,Both,,,,,022_08
279.039,297.949,,,L,,,,,022_08
281.17400000000004,287.095,,,Both,,,,,022_08
296.757,324.98400000000004,,,R,,,,,022_08
323.846,324.98400000000004,,,Both,,,,,022_08
323.846,400.61800000000005,,,L,,,,,022_08
405.11800000000005,413.07800000000003,,L,,,,,,022_08
408.93199999999996,413.07800000000003,,Both,,,,,,022_08
408.93199999999996,420.38599999999997,,R,,,,,,022_08
414.917,420.38599999999997,,,Both,,,,,022_08
414.917,476.524,,,L,,,,,022_08
418.38199999999995,420.38199999999995,,,,momgrab,,,,022_08
422.135,439.75800000000004,,,R,,,,,022_08
467.3,485.32099999999997,R,,,,,,,022_08
475.287,476.60400000000004,,,,momgrab,,,,022_08
73.016,147.95,,,R,,,,,023_08
76.546,113.07,,,Both,,,,,023_08
132.74,141.575,,,L,,,,,023_08
144.21,160.33,L,,,,,,,023_08
146.32299999999998,148.003,,,,momgrab,,,,023_08
159.29,160.44,,,,momgrab,,,,023_08
172.28,183.44,L,,,,,,,023_08
192.76,194.46,,,L,,,,,023_08
216.53,222.065,,,L,,,,,023_08
220.1,222.065,,,Both,,,,,023_08
220.1,259.91,,,R,,,,,023_08
226.36,233.57,,,Both,,,,,023_08
236.50400000000002,287.88,,,L,,,,,023_08
285.48,287.88,,,Both,,,,,023_08
285.48,295.668,,,R,,,,,023_08
290.56,295.668,,,Both,,,,,023_08
290.56,317.27,,,L,,,,,023_08
296.83799999999997,298.35,Both,,,,,,,023_08
299.45,337.57,,,R,,,,,023_08
327.19,337.48699999999997,,,Both,,,,,023_08
335.781,337.48699999999997,,,,momgrab,,,,023_08
335.781,337.631,,,,momgrab,,,,023_08
348.681,349.76099999999997,,,,momforce,,,,023_08
360.34,468.96,R,,,,,,,023_08
366.45300000000003,372.71,Both,,,,,,,023_08
374.89,379.96,L,,,,,,,023_08
383.87,392.499,L,,,,,,,023_08
396.569,403.399,L,,,,,,,023_08
410.089,418.469,L,,,,,,,023_08
420.41,437.27,L,,,,,,,023_08
439.4,451.06,L,,,,,,,023_08
454.92,469.02,L,,,,,,,023_08
468.47,469.02,,,,momgrab,,,,023_08
468.47,469.11,,,,momgrab,,,,023_08
36.371,39.005,,L,,,,,,024_08
36.731,36.999,Both,,,,,,,024_08
38.318000000000005,39.788000000000004,R,,,,,,,024_08
40.426,115.34100000000001,,,R,,,,,024_08
52.736999999999995,115.34100000000001,,,Both,,,,,024_08
52.736999999999995,131.892,,,L,,,,,024_08
118.757,120.699,,,Both,,,,,024_08
125.36200000000001,181.852,,,R,,,,,024_08
154.958,181.852,,,Both,,,,,024_08
154.958,190.52900000000002,,,L,,,,,024_08
184.322,190.52900000000002,Both,,,,,,,024_08
184.322,191.046,R,,,,,,,024_08
188.28,190.52200000000002,,,,momgrab,,,,024_08
199.68900000000002,206.373,,,R,,,,,024_08
206.68200000000002,210.03099999999998,L,,,,,,,024_08
220.043,225.96200000000002,,,R,,,,,024_08
223.949,225.96200000000002,,,Both,,,,,024_08
223.949,226.12,,,L,,,,,024_08
225.665,226.12,,,,momgrab,,,,024_08
225.665,226.85299999999998,,,,momgrab,,,,024_08
243.638,245.325,,,R,,,,,024_08
248.808,275.54,,,R,,,,,024_08
266.70599999999996,272.073,,,Both,,,,,024_08
305.851,323.134,,L,,,,,,024_08
310.476,323.134,,Both,,,,,,024_08
310.476,333.624,,R,,,,,,024_08
329.728,333.624,,Both,,,,,,024_08
329.728,398.254,,L,,,,,,024_08
388.43699999999995,398.254,,Both,,,,,,024_08
388.43699999999995,403.01300000000003,,R,,,,,,024_08
408.28,430.099,L,,,,,,,024_08
424.05800000000005,430.099,Both,,,,,,,024_08
424.05800000000005,430.912,R,,,,,,,024_08
444.62699999999995,448.656,L,,,,,,,024_08
449.246,450.38699999999994,R,,,,,,,024_08
455.34,472.59,L,,,,,,,024_08
109.26100000000001,112.355,,,R,,,,,025_08
111.884,112.355,,,Both,,,,,025_08
111.884,118.086,,,L,,,,,025_08
116.89399999999999,118.086,,,,momgrab,,,,025_08
116.89399999999999,118.35,,,,momgrab,,,,025_08
123.316,129.06799999999998,L,,,,,,,025_08
129.77700000000002,154.808,,,L,,,,,025_08
158.796,162.004,L,,,,,,,025_08
169.49,170.926,R,,,,,,,025_08
173.453,184.44799999999998,R,,,,,,,025_08
177.28799999999998,184.44799999999998,,,Both,,,,,025_08
177.28799999999998,203.373,,,L,,,,,025_08
201.89,203.373,,Both,,,,,,025_08
201.89,203.487,,R,,,,,,025_08
202.597,203.43599999999998,,,,momgrab,,,,025_08
205.40200000000002,208.815,,R,,,,,,025_08
208.583,208.815,,Both,,,,,,025_08
208.583,212.88400000000001,,L,,,,,,025_08
210.657,212.88400000000001,,,Both,,,,,025_08
210.657,218.695,,,R,,,,,025_08
232.86900000000003,237.31799999999998,L,,,,,,,025_08
236.34099999999998,237.31799999999998,Both,,,,,,,025_08
236.34099999999998,240.267,R,,,,,,,025_08
245.005,247.065,L,,,,,,,025_08
260.052,260.569,L,,,,,,,025_08
273.819,275.416,R,,,,,,,025_08
275.88,281.17900000000003,,,L,,,,,025_08
279.949,281.17900000000003,,,Both,,,,,025_08
279.949,300.62,,,R,,,,,025_08
281.66700000000003,282.08299999999997,Both,,,,,,,025_08
291.22900000000004,291.9,L,,,,,,,025_08
306.89,319.268,R,,,,,,,025_08
308.166,308.535,,,Both,,,,,025_08
341.852,343.94599999999997,R,,,,,,,025_08
344.996,345.6,R,,,,,,,025_08
351.769,353.259,,,R,,,,,025_08
353.879,355.414,R,,,,,,,025_08
385.225,385.86300000000006,L,,,,,,,025_08
395.765,399.75800000000004,,R,,,,,,025_08
397.793,399.51099999999997,,,,momgrab,,,,025_08
410.366,412.681,,R,,,,,,025_08
413.538,415.625,R,,,,,,,025_08
428.885,430.664,,,L,,,,,025_08
430.435,430.664,,,Both,,,,,025_08
430.435,437.973,,,R,,,,,025_08
452.69199999999995,453.41,R,,,,,,,025_08
466.894,467.10900000000004,L,,,,,,,025_08
479.55699999999996,480.892,R,,,,,,,025_08
497.154,499.94599999999997,,R,,,,,,025_08
499.23800000000006,499.94599999999997,,,,momgrab,,,,025_08
499.23800000000006,499.962,,,,momgrab,,,,025_08
501.909,503.366,,R,,,,,,025_08
161.668,165.735,,,L,,,,,026_08
161.671,165.735,,,Both,,,,,026_08
161.671,185.12,,,R,,,,,026_08
164.748,167.718,,,,momgrab,,,,026_08
170.805,178.08700000000002,,,L,,,,,026_08
178.907,208.54,,L,,,,,,026_08
181.87,183.025,,,,momforce,,,,026_08
183.025,185.135,,,,momgrab,,,,026_08
185.9,203.363,,R,,,,,,026_08
204.933,213.79,R,,,,,,,026_08
207.73,209.13,,,,momgrab,,,,026_08
209.61,217.02,L,,,,,,,026_08
214.76,215.61,,Both,,,,,,026_08
219.18,230.38,R,,,,,,,026_08
220.28,230.38,Both,,,,,,,026_08
220.28,244.12,L,,,,,,,026_08
231.63,244.12,,Both,,,,,,026_08
231.63,248.16,,R,,,,,,026_08
241.19,242.64,,,,momgrab,,,,026_08
243.12,244.13,,,,momgrab,,,,026_08
244.78,248.39,,L,,,,,,026_08
247.67,248.39,,,,momgrab,,,,026_08
247.67,248.55,,,,momgrab,,,,026_08
249.16,254.445,R,,,,,,,026_08
251.24,254.445,Both,,,,,,,026_08
251.24,258.52,L,,,,,,,026_08
255.245,258.52,,Both,,,,,,026_08
255.245,269.38,,R,,,,,,026_08
255.26,257.13,,,,momforce,,,,026_08
259.245,290.38,,L,,,,,,026_08
269.965,282.97,Both,,,,,,,026_08
281.32,282.97,,,,momgrab,,,,026_08
281.32,283.33,,,,momgrab,,,,026_08
284.05,286.75,,R,,,,,,026_08
287.525,293.025,R,,,,,,,026_08
289.725,290.385,,,,momgrab,,,,026_08
291.3,308.9,L,,,,,,,026_08
293.82,308.9,,Both,,,,,,026_08
293.82,309.89,,R,,,,,,026_08
307.87,308.9,,,,momgrab,,,,026_08
309.62,310.03,,,,momgrab,,,,026_08
312.44,326.78,,R,,,,,,026_08
312.795,313.555,Both,,,,,,,026_08
318.66,331.34,,L,,,,,,026_08
327.475,331.34,Both,,,,,,,026_08
327.475,356.725,R,,,,,,,026_08
330.41,331.34,,,,momgrab,,,,026_08
333.54,345.47,L,,,,,,,026_08
348.08,364.88,,,L,,,,,026_08
354.82,356.72,,,,momgrab,,,,026_08
357.515,418.21,,,R,,,,,026_08
365.42,381.89,Both,,,,,,,026_08
379.23,380.39,,,,momgrab,,,,026_08
381.23,381.93,,,,momgrab,,,,026_08
383.96,397.08,L,,,,,,,026_08
396.47,397.08,,,,momgrab,,,,026_08
396.47,397.15,,,,momgrab,,,,026_08
399.3,413.58,L,,,,,,,026_08
