Begin,End,m_inf,i_inf,a_inf,Mom Actions,m_mom,i_mom,a_mom,File
89.025,98.68799999999999,,,L,,,,,004_08
89.025,98.973,,,R,,,,,004_08
97.815,98.973,,,,momgrab,,,,004_08
97.815,98.992,,,,momgrab,,,,004_08
108.34,141.49200000000002,,,R,,,,,004_08
141.719,146.773,R,,,,,,,004_08
145.601,146.773,Both,,,,,,,004_08
145.601,146.774,L,,,,,,,004_08
168.331,170.18400000000003,R,,,,,,,004_08
179.704,181.88299999999998,,R,,,,,,004_08
223.054,236.093,R,,,,,,,004_08
246.90099999999998,247.502,R,,,,,,,004_08
265.704,295.235,R,,,,,,,004_08
267.613,295.235,Both,,,,,,,004_08
267.613,300.621,L,,,,,,,004_08
295.62,300.621,,,Both,,,,,004_08
295.62,307.718,,,R,,,,,004_08
301.255,307.718,,,Both,,,,,004_08
301.255,308.806,,,L,,,,,004_08
308.006,308.806,Both,,,,,,,004_08
308.006,310.496,R,,,,,,,004_08
308.806,309.685,Both,,,,,,,004_08
311.20799999999997,322.329,,,R,,,,,004_08
312.402,322.329,,,Both,,,,,004_08
312.402,326.697,,,L,,,,,004_08
324.413,326.697,,Both,,,,,,004_08
324.413,327.884,,R,,,,,,004_08
332.208,356.673,,,L,,,,,004_08
355.001,356.673,,,,momgrab,,,,004_08
355.001,356.68199999999996,,,,momgrab,,,,004_08
367.722,377.164,,R,,,,,,004_08
369.725,377.164,,Both,,,,,,004_08
369.725,379.532,,L,,,,,,004_08
378.53,379.532,,,Both,,,,,004_08
378.53,400.092,,,R,,,,,004_08
379.809,400.092,,,Both,,,,,004_08
379.809,458.392,,,L,,,,,004_08
403.32099999999997,439.41,Both,,,,,,,004_08
448.75199999999995,454.668,R,,,,,,,004_08
454.515,454.668,,,,momgrab,,,,004_08
454.515,457.18800000000005,,,,momgrab,,,,004_08
106.656,122.186,R,,,,,,,005_08
106.955,107.432,Both,,,,,,,005_08
114.31700000000001,135.773,L,,,,,,,005_08
131.92600000000002,135.773,Both,,,,,,,005_08
131.92600000000002,193.429,R,,,,,,,005_08
140.611,143.45,Both,,,,,,,005_08
153.601,204.13400000000001,,,L,,,,,005_08
192.49400000000003,193.312,,,,momgrab,,,,005_08
199.905,230.66299999999998,,,R,,,,,005_08
218.945,220.428,,,Both,,,,,005_08
221.878,223.207,,,L,,,,,005_08
225.683,227.34799999999998,,L,,,,,,005_08
228.888,266.813,,,L,,,,,005_08
