"Begin Time - ss.msec","End Time - ss.msec","*TIME","Motion","LHGrasp","RHInteract","Mouthing","RHGrasp","Interact Comment","LHInteract","Mom Action","Grasp Comment","Mouth","Mom Actions","LHinteract","Mom Grab","File","File Path"
227.653,239.961,,,,,"am",,,,,,,,,,"001_08_071807_07172018EP_babyhands_TD.eaf"
231.218,240.485,,,,,,,,"m",,,,,,,"001_08_071807_07172018EP_babyhands_TD.eaf"
231.485,232.785,,,"mg",,,,,,,,,,,,"001_08_071807_07172018EP_babyhands_TD.eaf"
234.565,240.49,,,"mg",,,,,,,,,,,,"001_08_071807_07172018EP_babyhands_TD.eaf"
238.459,240.51,,,,,,,,,"momforce momgrab",,,,,,"001_08_071807_07172018EP_babyhands_TD.eaf"
277.344,283.08,,,,,"am",,,,,,,,,,"001_08_071807_07172018EP_babyhands_TD.eaf"
283.575,285.261,,"shak-b",,,,,"bang animate toy on musical toy",,,,,,,,"001_08_071807_07172018EP_babyhands_TD.eaf"
285.768,295.987,,,,,"am",,,,,,,,,,"001_08_071807_07172018EP_babyhands_TD.eaf"
299.333,303.674,,,,,"am",,,,,,,,,,"001_08_071807_07172018EP_babyhands_TD.eaf"
302.54,303.493,,,,,,,,,"momforce",,,,,,"001_08_071807_07172018EP_babyhands_TD.eaf"
302.54,355.883,,,"ig",,,,,"i",,,,,,,"001_08_071807_07172018EP_babyhands_TD.eaf"
304.259,313.087,,,,,"im",,,,,,,,,,"001_08_071807_07172018EP_babyhands_TD.eaf"
312.65,313.244,,"shak-b",,,,,,,,,,,,,"001_08_071807_07172018EP_babyhands_TD.eaf"
314.35,328.466,,,,,"am",,,,,,,,,,"001_08_071807_07172018EP_babyhands_TD.eaf"
334.039,337.583,,,,,"am",,,,,,,,,,"001_08_071807_07172018EP_babyhands_TD.eaf"
338.728,345.967,,,,,"am",,,,,,,,,,"001_08_071807_07172018EP_babyhands_TD.eaf"
346.407,347.549,,,,,"im",,,,,,,,,,"001_08_071807_07172018EP_babyhands_TD.eaf"
355.964,356.904,,,,,,,,,"momforce",,,,,,"001_08_071807_07172018EP_babyhands_TD.eaf"
362.796,366.626,,,,,,,,"a",,,,,,,"001_08_071807_07172018EP_babyhands_TD.eaf"
