"Mouthing","",285.768,295.987,10.219,"am","001_08_071807_07172018EP_babyhands_TD.eaf"
"Mouthing","",299.333,303.674,4.341,"am","001_08_071807_07172018EP_babyhands_TD.eaf"
"Mouthing","",304.259,313.087,8.828,"im","001_08_071807_07172018EP_babyhands_TD.eaf"
"Mouthing","",314.35,328.466,14.116,"am","001_08_071807_07172018EP_babyhands_TD.eaf"
"Mouthing","",334.039,337.583,3.544,"am","001_08_071807_07172018EP_babyhands_TD.eaf"
"Mouthing","",338.728,345.967,7.239,"am","001_08_071807_07172018EP_babyhands_TD.eaf"
"Mouthing","",346.407,347.549,1.142,"im","001_08_071807_07172018EP_babyhands_TD.eaf"
"Mouthing","",366.413,370.572,4.159,"mm","001_08_071807_07172018EP_babyhands_TD.eaf"
"Mouthing","",374.833,380.493,5.66,"mm","001_08_071807_07172018EP_babyhands_TD.eaf"
"Mouthing","",402.618,404.484,1.866,"mm","001_08_071807_07172018EP_babyhands_TD.eaf"
"Mouthing","",437.769,440.182,2.413,"am","001_08_071807_07172018EP_babyhands_TD.eaf"
"Mouthing","",442.985,445.872,2.887,"am","001_08_071807_07172018EP_babyhands_TD.eaf"
"Mouthing","",457.783,463.654,5.871,"am","001_08_071807_07172018EP_babyhands_TD.eaf"
"Mouthing","",468.14,477.766,9.626,"am","001_08_071807_07172018EP_babyhands_TD.eaf"
"RHGrasp","",119.0,142.899,23.899,"ig","001_08_071807_07172018EP_babyhands_TD.eaf"
"RHGrasp","",143.221,149.789,6.568,"mg","001_08_071807_07172018EP_babyhands_TD.eaf"
"RHGrasp","",151.009,159.217,8.208,"ig","001_08_071807_07172018EP_babyhands_TD.eaf"
"RHGrasp","",161.96,177.493,15.533,"ag","001_08_071807_07172018EP_babyhands_TD.eaf"
"RHGrasp","",178.695,182.828,4.133,"ig","001_08_071807_07172018EP_babyhands_TD.eaf"
"RHGrasp","",185.246,185.993,0.747,"ag","001_08_071807_07172018EP_babyhands_TD.eaf"
"RHGrasp","",188.822,190.795,1.973,"ag","001_08_071807_07172018EP_babyhands_TD.eaf"
"RHGrasp","",199.676,201.998,2.322,"ag","001_08_071807_07172018EP_babyhands_TD.eaf"
"RHGrasp","",212.35,226.579,14.229,"mg","001_08_071807_07172018EP_babyhands_TD.eaf"
"RHGrasp","",226.92,363.586,136.666,"ag","001_08_071807_07172018EP_babyhands_TD.eaf"
"RHGrasp","",364.9,422.232,57.332,"mg","001_08_071807_07172018EP_babyhands_TD.eaf"
"RHGrasp","",437.125,463.792,26.667,"ag","001_08_071807_07172018EP_babyhands_TD.eaf"
"RHGrasp","",465.866,479.592,13.726,"ag","001_08_071807_07172018EP_babyhands_TD.eaf"
"Interact Comment","",149.8,150.853,1.053,"overlap RH with musical and inanimate toy","001_08_071807_07172018EP_babyhands_TD.eaf"
"Interact Comment","",154.43,162.023,7.593,"momgrab inanimate","001_08_071807_07172018EP_babyhands_TD.eaf"
"Interact Comment","",162.023,164.543,2.52,"momforce animate","001_08_071807_07172018EP_babyhands_TD.eaf"
"Interact Comment","",283.575,285.261,1.686,"bang animate toy on musical toy","001_08_071807_07172018EP_babyhands_TD.eaf"
"LHInteract","",123.24,139.679,16.439,"i","001_08_071807_07172018EP_babyhands_TD.eaf"
"LHInteract","",140.046,144.592,4.546,"m","001_08_071807_07172018EP_babyhands_TD.eaf"
"LHInteract","",145.356,155.489,10.133,"i","001_08_071807_07172018EP_babyhands_TD.eaf"
"LHInteract","",159.102,164.188,5.086,"i","001_08_071807_07172018EP_babyhands_TD.eaf"
"LHInteract","",164.616,216.882,52.266,"a","001_08_071807_07172018EP_babyhands_TD.eaf"
"LHInteract","",217.309,222.189,4.88,"m","001_08_071807_07172018EP_babyhands_TD.eaf"
"LHInteract","",222.512,223.48,0.968,"a","001_08_071807_07172018EP_babyhands_TD.eaf"
"LHInteract","",224.845,230.871,6.026,"a","001_08_071807_07172018EP_babyhands_TD.eaf"
"LHInteract","",231.218,240.485,9.267,"m","001_08_071807_07172018EP_babyhands_TD.eaf"
"LHInteract","",302.54,355.883,53.343,"i","001_08_071807_07172018EP_babyhands_TD.eaf"
"LHInteract","",362.796,366.626,3.83,"a","001_08_071807_07172018EP_babyhands_TD.eaf"
"LHInteract","",366.834,392.955,26.121,"m","001_08_071807_07172018EP_babyhands_TD.eaf"
"LHInteract","",395.528,401.874,6.346,"a","001_08_071807_07172018EP_babyhands_TD.eaf"
"LHInteract","",402.231,404.28,2.049,"m","001_08_071807_07172018EP_babyhands_TD.eaf"
"LHInteract","",434.699,452.875,18.176,"a","001_08_071807_07172018EP_babyhands_TD.eaf"
"LHInteract","",455.267,460.062,4.795,"a","001_08_071807_07172018EP_babyhands_TD.eaf"
"LHInteract","",460.161,463.187,3.026,"m","001_08_071807_07172018EP_babyhands_TD.eaf"
"LHInteract","",467.913,471.017,3.104,"a","001_08_071807_07172018EP_babyhands_TD.eaf"
"LHInteract","",473.739,473.872,0.133,"m","001_08_071807_07172018EP_babyhands_TD.eaf"
"Mom Action","",139.613,140.573,0.96,"momgrab","001_08_071807_07172018EP_babyhands_TD.eaf"
"Mom Action","",154.43,162.023,7.593,"momgrab","001_08_071807_07172018EP_babyhands_TD.eaf"
"Mom Action","",162.023,164.543,2.52,"momgrab momforce","001_08_071807_07172018EP_babyhands_TD.eaf"
"Mom Action","",212.296,212.923,0.627,"momforce","001_08_071807_07172018EP_babyhands_TD.eaf"
"Mom Action","",213.859,216.926,3.067,"momgrab","001_08_071807_07172018EP_babyhands_TD.eaf"
"Mom Action","",224.834,226.907,2.073,"momforce","001_08_071807_07172018EP_babyhands_TD.eaf"
"Mom Action","",238.459,240.51,2.051,"momforce momgrab","001_08_071807_07172018EP_babyhands_TD.eaf"
"Mom Action","",302.54,303.493,0.953,"momforce","001_08_071807_07172018EP_babyhands_TD.eaf"
"Mom Action","",355.964,356.904,0.94,"momforce","001_08_071807_07172018EP_babyhands_TD.eaf"
"Mom Action","",411.847,413.607,1.76,"momgrab","001_08_071807_07172018EP_babyhands_TD.eaf"
"Mom Action","",462.326,463.212,0.886,"momgrab","001_08_071807_07172018EP_babyhands_TD.eaf"
"Mom Action","",473.739,473.872,0.133,"momforce","001_08_071807_07172018EP_babyhands_TD.eaf"
"*TIME","",108.452,109.146,0.694,"START","002_08_090507_07192018EP_babyhands_DH.eaf"
"*TIME","",463.106,463.281,0.175,"End Toy Play- by BK","002_08_090507_07192018EP_babyhands_DH.eaf"
"*TIME","",718.293,718.879,0.586,"END","002_08_090507_07192018EP_babyhands_DH.eaf"
"Motion","",108.452,109.594,1.142,"mouth","002_08_090507_07192018EP_babyhands_DH.eaf"
"Motion","",110.276,110.425,0.149,"drop","002_08_090507_07192018EP_babyhands_DH.eaf"
"Motion","",130.476,132.984,2.508,"shak-b","002_08_090507_07192018EP_babyhands_DH.eaf"
"Motion","",159.972,161.331,1.359,"shak-b","002_08_090507_07192018EP_babyhands_DH.eaf"
"Motion","",166.083,166.234,0.151,"drop","002_08_090507_07192018EP_babyhands_DH.eaf"
"Motion","",217.286,219.197,1.911,"shak-b","002_08_090507_07192018EP_babyhands_DH.eaf"
"Motion","",225.068,225.219,0.151,"drop","002_08_090507_07192018EP_babyhands_DH.eaf"
"Motion","",243.298,243.449,0.151,"drop","002_08_090507_07192018EP_babyhands_DH.eaf"
"Motion","",254.689,254.838,0.149,"drop","002_08_090507_07192018EP_babyhands_DH.eaf"
"Motion","",267.701,267.852,0.151,"drop","002_08_090507_07192018EP_babyhands_DH.eaf"
"Motion","",283.596,283.748,0.152,"drop","002_08_090507_07192018EP_babyhands_DH.eaf"
"Motion","",292.382,294.502,2.12,"shak-b","002_08_090507_07192018EP_babyhands_DH.eaf"
"Motion","",311.401,311.552,0.151,"drop","002_08_090507_07192018EP_babyhands_DH.eaf"
"Motion","",325.825,326.465,0.64,"mouth","002_08_090507_07192018EP_babyhands_DH.eaf"
"Motion","",329.596,332.506,2.91,"shak","002_08_090507_07192018EP_babyhands_DH.eaf"
"Motion","",332.883,333.034,0.151,"drop","002_08_090507_07192018EP_babyhands_DH.eaf"
