index,Begin,End,m,i,a,Mom Actions,File
458,54.101000000000006,54.721000000000004,,,,momgrab,011_07
,54.721000000000004,66.64699999999999,,,L,,011_07
459,54.961000000000006,63.388999999999996,,,,momgrab,011_07
460,65.811,66.425,,,R,,011_07
461,66.425,67.27600000000001,,,,momgrab,011_07
,67.27600000000001,67.619,,,R,,011_07
462,68.98100000000001,75.322,R,,,,011_07
463,75.322,77.88,,,Both,,011_07
,77.88,102.92,R,,,,011_07
464,78.111,80.863,L,,,,011_07
465,83.073,83.285,,L,,,011_07
466,83.285,88.329,,,,momgrab,011_07
466,88.329,88.43,,,,momgrab,011_07
467,88.49,89.04299999999999,,,L,,011_07
468,90.867,93.39399999999999,,L,,,011_07
469,93.777,94.809,,L,,,011_07
470,94.809,95.34299999999999,,,,momgrab,011_07
470,95.34299999999999,95.383,,,,momgrab,011_07
471,95.59700000000001,97.083,,,L,,011_07
472,97.083,97.539,,,,momgrab,011_07
472,97.539,97.59700000000001,,,,momgrab,011_07
473,99.417,102.92,,,,momgrab,011_07
474,99.635,107.822,,,L,,011_07
475,104.81700000000001,107.822,,,Both,,011_07
476,107.803,109.186,,,,momgrab,011_07
474,107.822,102.92,,,Both,,011_07
475,107.822,107.803,,,R,,011_07
477,109.837,111.109,,,L,,011_07
478,111.70100000000001,112.50299999999999,R,,,,011_07
479,112.50299999999999,113.072,,,Both,,011_07
480,113.072,117.12,,,,momgrab,011_07
,117.12,122.292,R,,,,011_07
480,117.12,117.426,,,,momgrab,011_07
481,118.889,119.84,,,L,,011_07
482,120.73100000000001,121.01100000000001,L,,,,011_07
483,121.09100000000001,121.529,,,L,,011_07
484,121.529,122.292,,,,momgrab,011_07
,122.292,123.613,,,L,,011_07
485,122.97200000000001,128.455,,,R,,011_07
486,128.455,129.35,,,,momforce,011_07
,129.35,139.055,,,R,,011_07
487,129.35,131.06,,L,,,011_07
488,131.06,133.717,,,,momgrab,011_07
489,134.974,148.033,,,L,,011_07
490,148.033,150.156,Both,,,,011_07
,150.156,154.319,,,L,,011_07
491,152.716,153.55700000000002,,,R,,011_07
492,153.55700000000002,154.319,,,,momgrab,011_07
493,154.399,154.964,R,,,,011_07
494,159.749,159.94899999999998,R,,,,011_07
495,160.653,163.52200000000002,,,R,,011_07
496,163.52200000000002,164.322,,,,momgrab,011_07
,164.322,168.609,,,R,,011_07
497,169.727,171.021,R,,,,011_07
498,171.021,172.203,,,,momgrab,011_07
499,172.045,174.924,,,L,,011_07
498,172.203,172.354,,,,momgrab,011_07
500,172.831,174.38299999999998,,,Both,,011_07
501,174.38299999999998,174.924,,,,momgrab,011_07
499,174.924,172.354,,,Both,,011_07
502,175.396,175.609,,,L,,011_07
503,175.609,175.956,Both,,,,011_07
503,175.956,176.75099999999998,R,,,,011_07
504,176.75099999999998,177.12900000000002,,,,momgrab,011_07
505,177.658,179.128,,,L,,011_07
506,179.21599999999998,182.609,,,R,,011_07
507,182.609,184.233,,Both,,,011_07
,184.233,189.005,,,R,,011_07
508,186.493,186.963,,,L,,011_07
509,186.963,189.25900000000001,,,,momgrab,011_07
509,189.25900000000001,189.27900000000002,,,,momgrab,011_07
510,190.78400000000002,193.12900000000002,,,R,,011_07
511,193.12900000000002,194.03900000000002,,,,momgrab,011_07
512,193.142,194.236,,,Both,,011_07
511,194.03900000000002,193.142,,,,momgrab,011_07
,194.236,194.275,,,,momgrab,011_07
513,195.327,202.615,,,R,,011_07
514,200.86,210.926,,,L,,011_07
515,203.15099999999998,204.166,Both,,,,011_07
516,206.028,207.87400000000002,R,,,,011_07
517,208.447,210.187,,,R,,011_07
518,210.187,210.88299999999998,,,,momgrab,011_07
518,210.88299999999998,210.926,,,,momgrab,011_07
514,210.926,202.615,,,Both,,011_07
519,211.18599999999998,214.975,R,,,,011_07
520,214.975,215.83700000000002,,,,momgrab,011_07
520,215.83700000000002,215.875,,,,momgrab,011_07
521,223.28,223.428,R,,,,011_07
522,224.408,225.426,R,,,,011_07
523,227.59599999999998,228.28799999999998,R,,,,011_07
524,229.27,229.55,,L,,,011_07
525,230.075,230.565,,,R,,011_07
526,233.062,235.30700000000002,,,L,,011_07
527,235.30700000000002,235.87,,,,momgrab,011_07
,235.87,250.97400000000002,,,L,,011_07
528,236.30200000000002,236.502,R,,,,011_07
529,236.97099999999998,240.325,,,R,,011_07
530,241.278,241.391,R,,,,011_07
531,241.391,243.06900000000002,,,,momgrab,011_07
,243.06900000000002,243.662,R,,,,011_07
532,248.27599999999998,252.54,,,R,,011_07
533,252.54,255.707,,,,momgrab,011_07
,255.707,276.789,,,R,,011_07
534,255.773,256.585,,,L,,011_07
535,258.775,264.204,,L,,,011_07
536,265.899,267.626,,,L,,011_07
537,267.626,269.784,,,,momgrab,011_07
537,269.784,272.197,,,,momgrab,011_07
538,272.525,276.545,,,L,,011_07
539,277.131,278.933,R,,,,011_07
540,278.933,279.724,,,,momgrab,011_07
,279.724,279.789,R,,,,011_07
541,284.275,284.414,R,,,,011_07
542,284.414,284.574,,,Both,,011_07
,284.574,285.519,R,,,,011_07
543,287.543,291.178,R,,,,011_07
544,291.178,292.144,,Both,,,011_07
544,292.144,294.367,,L,,,011_07
545,294.367,296.818,,Both,,,011_07
546,296.818,299.318,,,,momgrab,011_07
,299.318,303.324,,L,,,011_07
546,299.318,299.401,,,,momgrab,011_07
547,300.16,302.383,,,R,,011_07
548,302.383,302.92,,,,momgrab,011_07
,302.92,306.26099999999997,,,R,,011_07
549,305.422,306.28700000000003,,,,momgrab,011_07
550,308.457,312.027,R,,,,011_07
551,312.809,312.921,,,L,,011_07
552,312.921,315.415,,,Both,,011_07
,315.415,317.018,,,L,,011_07
553,315.434,317.018,,,,momgrab,011_07
554,319.731,325.409,R,,,,011_07
555,325.982,327.92900000000003,,,R,,011_07
556,328.24800000000005,330.14599999999996,R,,,,011_07
557,330.504,334.787,,,R,,011_07
558,335.44599999999997,337.713,R,,,,011_07
559,344.212,346.309,,,R,,011_07
560,347.782,353.849,R,,,,011_07
561,353.849,354.586,,,,momgrab,011_07
561,354.586,354.654,,,,momgrab,011_07
562,355.546,355.725,,,R,,011_07
563,355.725,357.05300000000005,,,Both,,011_07
,357.05300000000005,361.80699999999996,,,R,,011_07
564,359.98400000000004,360.527,,,,momgrab,011_07
565,361.283,361.86,,,,momgrab,011_07
566,362.91900000000004,362.97,,,R,,011_07
567,362.97,365.228,,,Both,,011_07
,365.228,375.89099999999996,,,R,,011_07
568,366.269,376.171,,L,,,011_07
569,376.171,381.0,,Both,,,011_07
570,381.0,381.13199999999995,,,,momgrab,011_07
,381.13199999999995,384.04,,L,,,011_07
570,381.13199999999995,382.43699999999995,,,,momgrab,011_07
571,382.43699999999995,384.04,,,Both,,011_07
571,384.04,387.99699999999996,,,R,,011_07
572,387.246,388.037,,,,momgrab,011_07
572,388.037,387.99699999999996,,,,momgrab,011_07
573,388.34,390.49800000000005,R,,,,011_07
574,390.49800000000005,393.3,,,Both,,011_07
,393.3,395.23199999999997,R,,,,011_07
575,393.834,395.533,L,,,,011_07
576,395.533,398.339,,,,momgrab,011_07
577,398.417,400.164,,,L,,011_07
578,400.164,402.106,,,Both,,011_07
579,401.03,402.31800000000004,,,,momgrab,011_07
578,402.106,401.03,,,R,,011_07
,402.31800000000004,403.616,,,R,,011_07
580,173.58900000000003,182.799,,,L,,012_07
581,182.799,221.195,,,R,,012_07
582,208.204,209.102,,,,momgrab,012_07
,209.102,221.195,,,R,,012_07
583,209.703,210.899,,,,momforce,012_07
584,211.02200000000002,211.895,,,L,,012_07
585,213.72099999999998,214.78799999999998,,,L,,012_07
586,218.43,219.923,,,L,,012_07
587,219.923,220.989,,,,momgrab,012_07
587,220.989,221.201,,,,momgrab,012_07
588,222.00799999999998,223.016,R,,,,012_07
589,223.016,224.997,,,Both,,012_07
590,223.215,224.99900000000002,,,,momgrab,012_07
589,224.997,223.215,,,L,,012_07
,224.99900000000002,225.69400000000002,,,L,,012_07
591,228.503,231.71900000000002,,,R,,012_07
592,231.71900000000002,233.199,,,,momgrab,012_07
,233.199,262.89799999999997,,,R,,012_07
593,261.112,262.895,,,,momgrab,012_07
594,263.20099999999996,263.79400000000004,R,,,momforce,012_07
595,268.11,272.517,R,,,,012_07
596,272.517,274.495,,Both,,,012_07
596,274.495,275.703,,L,,,012_07
597,275.703,282.597,,Both,,,012_07
,282.597,333.86800000000005,,L,,,012_07
598,321.818,323.582,,R,,,012_07
599,339.625,340.195,,R,,,012_07
600,340.195,377.494,,Both,,,012_07
,377.494,381.68300000000005,,R,,,012_07
601,380.231,381.68800000000005,,,,momgrab,012_07
602,390.79699999999997,406.204,,L,,,012_07
603,406.204,436.767,,Both,,,012_07
603,436.767,437.86400000000003,,R,,,012_07
604,438.704,439.401,,,R,,012_07
605,439.401,459.24800000000005,,,Both,,012_07
605,459.24800000000005,459.249,,,L,,012_07
606,57.589,58.45,R,,,,014_07
607,63.152,70.759,L,,,,014_07
608,64.988,70.759,Both,,,,014_07
608,70.759,71.568,R,,,,014_07
609,76.297,79.354,L,,,,014_07
610,79.354,82.38600000000001,Both,,,,014_07
610,82.38600000000001,82.98,R,,,,014_07
611,95.772,97.499,,L,,,014_07
612,99.913,101.04,,L,,,014_07
613,108.835,109.255,,L,,,014_07
614,109.255,118.965,,Both,,,014_07
,118.965,128.667,,L,,,014_07
615,138.517,139.031,L,,,,014_07
616,139.031,142.05100000000002,Both,,,,014_07
,142.05100000000002,145.816,L,,,,014_07
617,143.341,144.243,R,,,,014_07
618,156.635,164.282,L,,,,014_07
619,164.282,185.592,Both,,,,014_07
,185.592,199.669,L,,,,014_07
620,187.49,198.938,R,,,,014_07
621,202.926,206.11900000000003,L,,,,014_07
622,206.11900000000003,212.113,Both,,,,014_07
622,212.113,212.139,R,,,,014_07
623,214.77900000000002,222.986,,,L,,014_07
624,227.261,228.78599999999997,,,L,,014_07
625,228.78599999999997,234.02599999999998,,,Both,,014_07
,234.02599999999998,234.167,,,L,,014_07
626,236.12400000000002,236.24400000000003,,,L,,014_07
627,246.22,255.791,,,L,,014_07
628,275.428,280.70799999999997,,,L,,014_07
629,284.884,285.751,,,L,,014_07
630,291.18,297.406,L,,,,014_07
631,297.406,298.096,Both,,,,014_07
631,298.096,299.04,R,,,,014_07
632,304.954,305.248,,L,,,014_07
633,323.223,325.999,L,,,,014_07
634,325.999,327.119,Both,,,,014_07
,327.119,329.713,L,,,,014_07
635,338.30400000000003,341.093,L,,,,014_07
636,347.94699999999995,350.434,,L,,,014_07
637,364.459,385.517,,L,,,014_07
638,398.89599999999996,399.24300000000005,,L,,,014_07
639,402.152,407.54400000000004,,L,,,014_07
640,411.04400000000004,416.413,,L,,,014_07
641,416.413,427.939,,Both,,,014_07
,427.939,427.958,,L,,,014_07
642,434.63,435.68,,L,,,014_07
643,435.68,440.19199999999995,,Both,,,014_07
643,440.19199999999995,443.85400000000004,,R,,,014_07
644,443.85400000000004,449.588,,Both,,,014_07
,449.588,449.593,,R,,,014_07
645,457.33,457.80400000000003,L,,,,014_07
646,462.616,463.3,,L,,,014_07
647,463.3,473.099,,Both,,,014_07
647,473.099,475.81199999999995,,R,,,014_07
648,99.309,130.028,,L,,,015_07
649,130.028,130.452,,,,momgrab,015_07
649,130.452,130.503,,,,momgrab,015_07
650,175.16299999999998,179.486,L,,,,015_07
651,198.168,198.68,,,,momgrab,015_07
652,225.801,226.886,,,L,,015_07
653,232.99599999999998,237.796,,,R,,015_07
654,237.796,238.622,,,Both,,015_07
654,238.622,241.412,,,L,,015_07
655,241.412,242.604,,,Both,,015_07
,242.604,258.77099999999996,,,L,,015_07
656,266.14599999999996,310.922,R,,,,015_07
657,353.042,369.29,R,,,,015_07
658,384.18199999999996,387.017,,,L,,015_07
659,387.017,388.116,,,Both,,015_07
659,388.116,422.971,,,R,,015_07
660,422.971,423.43300000000005,,,,momgrab,015_07
660,423.43300000000005,423.48199999999997,,,,momgrab,015_07
661,427.22900000000004,457.733,,,R,,015_07
662,457.733,460.47,,,Both,,015_07
,460.47,468.514,,,R,,015_07
663,466.965,475.67900000000003,,,L,,015_07
664,475.67900000000003,477.9,Both,,,,015_07
,477.9,484.86400000000003,,,L,,015_07
665,485.277,514.932,,L,,,015_07
666,195.868,201.396,,,,Momgrab,019_07
667,201.396,220.097,,R,,,019_07
668,202.301,204.09400000000002,Both,,,,019_07
,204.09400000000002,220.097,,R,,,019_07
669,205.803,214.19799999999998,,,,Momgrab,019_07
670,219.202,220.104,,,,Momgrab,019_07
671,224.002,226.09799999999998,,,,Momforce,019_07
672,226.09799999999998,227.59400000000002,,L,,,019_07
673,227.59400000000002,234.50400000000002,,R,,,019_07
674,234.50400000000002,238.408,,,,Momgrab,019_07
675,238.408,239.995,,Both,,,019_07
,239.995,240.69400000000002,,,,Momgrab,019_07
676,240.704,241.50099999999998,,,,Momforce,019_07
677,241.50099999999998,241.51,,Both,,,019_07
677,241.51,241.51,,L,,,019_07
678,241.51,247.699,,,,Momgrab,019_07
,247.699,290.397,,L,,,019_07
679,267.307,271.797,,,,Momgrab,019_07
680,283.005,290.399,,,,Momgrab,019_07
681,299.103,301.495,,,,Momforce,019_07
683,299.503,315.496,,,Both,,019_07
682,301.495,299.503,,,L,,019_07
683,315.496,317.30400000000003,,,R,,019_07
684,317.30400000000003,320.694,,,Both,,019_07
,320.694,389.19599999999997,,,R,,019_07
685,321.3,323.698,,,,Momgrab,019_07
686,324.702,337.29699999999997,,,L,,019_07
687,338.9,350.897,,,L,,019_07
688,360.10400000000004,366.79900000000004,,,L,,019_07
689,368.702,369.69800000000004,,,,Momgrab,019_07
690,372.5,376.49699999999996,,,L,,019_07
691,382.103,386.69599999999997,,,L,,019_07
692,389.19599999999997,389.212,,,,Momgrab,019_07
693,394.001,395.80199999999996,,,L,,019_07
694,395.80199999999996,397.394,,,,Momgrab,019_07
695,412.305,414.404,R,,,,019_07
696,414.404,451.699,Both,,,,019_07
,451.699,473.399,R,,,,019_07
697,454.30199999999996,457.695,L,,,,019_07
698,463.7,475.80400000000003,L,,,,019_07
699,475.80400000000003,479.994,Both,,,,019_07
,479.994,497.094,L,,,,019_07
700,480.105,482.704,,,,Momgrab,019_07
701,482.704,483.899,Both,,,,019_07
701,483.899,500.2,R,,,,019_07
702,500.2,503.899,Both,,,,019_07
,503.899,587.197,R,,,,019_07
703,504.606,517.099,,,,Momgrab,019_07
704,524.308,525.498,L,,,,019_07
705,538.102,549.0980000000001,,,,Momgrab,019_07
706,556.702,564.697,,,,Momgrab,019_07
707,581.505,582.903,,,,Momgrab,019_07
708,582.903,586.197,Both,,,,019_07
,586.197,587.2,,,,Momgrab,019_07
709,87.682,113.86,L,,,,022_07
710,113.86,133.58100000000002,R,,,,022_07
711,119.04,133.58100000000002,Both,,,,022_07
712,132.752,134.683,,,,momgrab,022_07
711,133.58100000000002,132.752,L,,,,022_07
712,134.683,134.719,,,,momgrab,022_07
713,142.767,144.90200000000002,,R,,,022_07
714,144.90200000000002,151.097,,Both,,,022_07
,151.097,248.06599999999997,,R,,,022_07
716,156.744,188.636,,L,,,022_07
717,183.138,188.636,,,,momgrab,022_07
717,188.636,188.90599999999998,,,,momgrab,022_07
715,188.636,157.638,,,,momforce,022_07
718,195.015,226.08,,L,,,022_07
719,226.08,228.213,,,,momgrab,022_07
719,228.213,228.34400000000002,,,,momgrab,022_07
720,231.18200000000002,245.226,,L,,,022_07
721,243.93099999999998,248.065,,,,momgrab,022_07
721,248.065,245.226,,,,momgrab,022_07
722,273.459,278.66200000000003,,,R,,022_07
723,278.66200000000003,290.89099999999996,,,Both,,022_07
723,290.89099999999996,296.084,,,L,,022_07
724,296.084,331.847,,,Both,,022_07
724,331.847,349.199,,,R,,022_07
725,349.199,352.231,Both,,,,022_07
726,349.676,352.23199999999997,,,,momgrab,022_07
725,352.231,349.676,L,,,,022_07
,352.23199999999997,393.345,L,,,,022_07
727,361.723,382.33,R,,,,022_07
728,386.81,399.457,R,,,,022_07
729,399.457,401.185,,,,momgrab,022_07
729,401.185,401.186,,,,momgrab,022_07
730,407.72900000000004,430.912,,L,,,022_07
731,440.25800000000004,457.414,,R,,,022_07
732,457.414,511.195,,Both,,,022_07
734,149.013,158.085,,,R,,023_07
735,158.085,168.99400000000003,,,Both,,023_07
735,168.99400000000003,190.40099999999998,,,L,,023_07
736,190.40099999999998,201.796,,,Both,,023_07
736,201.796,230.00099999999998,,,R,,023_07
737,230.00099999999998,231.59599999999998,,,,momforce,023_07
,231.59599999999998,233.09400000000002,,,R,,023_07
738,231.59599999999998,232.1,L,,,,023_07
739,232.1,233.09900000000002,,,,momgrab,023_07
,233.09900000000002,266.39799999999997,L,,,,023_07
740,241.403,243.09900000000002,R,,,,023_07
741,268.302,272.703,,,L,,023_07
743,272.703,276.097,,R,,,023_07
,276.097,290.797,,,L,,023_07
742,276.097,274.594,,,,momforce,023_07
744,281.10200000000003,282.999,,R,,,023_07
745,295.205,300.298,,R,,,023_07
746,300.298,319.698,,L,,,023_07
747,327.603,330.30400000000003,,,L,,023_07
748,330.30400000000003,332.89599999999996,,,Both,,023_07
748,332.89599999999996,339.00300000000004,,,R,,023_07
749,339.00300000000004,340.80400000000003,,,Both,,023_07
749,340.80400000000003,365.908,,,L,,023_07
750,365.908,371.394,,,Both,,023_07
,371.394,433.097,,,L,,023_07
751,383.105,404.796,,,R,,023_07
752,440.001,542.431,L,,,,023_07
753,18.509,20.41,,,L,,024_07
754,20.41,27.698,,,Both,,024_07
754,27.698,30.399,,,R,,024_07
755,30.399,32.693000000000005,,Both,,,024_07
755,32.693000000000005,33.494,,L,,,024_07
756,33.494,34.099000000000004,,Both,,,024_07
756,34.099000000000004,39.205,,R,,,024_07
757,39.205,41.982,,Both,,,024_07
,41.982,49.776,,R,,,024_07
758,43.302,49.776,,,,Momgrab,024_07
759,52.727,53.433,,,R,,024_07
760,53.433,53.683,,,Both,,024_07
,53.683,59.788000000000004,,,R,,024_07
761,58.095,59.081,,,L,,024_07
762,70.0,70.88,,,L,,024_07
763,73.028,75.097,,,,Momforce,024_07
765,73.709,86.899,,,Both,,024_07
764,75.097,73.709,,,L,,024_07
,86.899,90.09,,,L,,024_07
766,88.93,91.626,,,R,,024_07
767,91.626,98.291,,,Both,,024_07
,98.291,103.788,,,R,,024_07
768,102.929,103.788,,,,Momgrab,024_07
769,119.723,121.27600000000001,,,,Momforce,024_07
770,121.27600000000001,121.521,R,,,,024_07
771,121.521,126.169,Both,,,,024_07
,126.169,137.661,R,,,,024_07
772,127.616,130.28,L,,,,024_07
773,134.33100000000002,143.594,,L,,,024_07
774,144.204,147.13299999999998,L,,,,024_07
775,147.13299999999998,152.385,Both,,,,024_07
,152.385,155.779,L,,,,024_07
776,157.519,160.888,,L,,,024_07
777,166.524,167.713,R,,,,024_07
778,167.713,168.886,Both,,,,024_07
778,168.886,174.78799999999998,L,,,,024_07
779,170.21200000000002,177.285,R,,,,024_07
780,173.101,174.671,,,,Momgrab,024_07
,174.671,174.78799999999998,Both,,,,024_07
779,177.285,173.101,Both,,,,024_07
781,183.511,188.236,,,R,,024_07
782,188.236,188.773,Both,,,,024_07
782,188.773,189.993,L,,,,024_07
783,200.514,205.077,R,,,,024_07
784,218.41299999999998,220.373,,,,Momforce,024_07
785,220.373,221.926,L,,,,024_07
786,221.926,223.29,Both,,,,024_07
786,223.29,229.792,R,,,,024_07
787,230.12099999999998,232.236,,,R,,024_07
788,232.236,232.56400000000002,,,,Momgrab,024_07
789,242.90200000000002,244.396,,,,Momforce,024_07
790,244.396,247.36900000000003,,,R,,024_07
791,245.03099999999998,260.291,,,L,,024_07
792,248.115,251.477,Both,,,,024_07
793,252.94099999999997,256.231,R,,,,024_07
794,256.231,256.491,,,,Momgrab,024_07
795,259.624,261.922,,,R,,024_07
791,260.291,247.36900000000003,,,Both,,024_07
796,261.922,264.399,,,Both,,024_07
,264.399,271.156,,,R,,024_07
797,266.003,273.308,,,L,,024_07
798,273.308,313.19,,,Both,,024_07
798,313.19,316.916,,,R,,024_07
799,316.916,335.779,,,Both,,024_07
,335.779,351.89099999999996,,,R,,024_07
800,338.195,355.51800000000003,,,L,,024_07
801,355.51800000000003,376.769,,,Both,,024_07
801,376.769,376.786,,,R,,024_07
803,389.106,392.295,,,L,,024_07
804,390.704,391.395,,,Both,,024_07
802,392.295,389.596,,,,Momforce,024_07
805,172.678,216.49900000000002,,R,,,025_07
806,216.905,246.093,R,,,,025_07
807,111.03299999999999,111.794,,,R,,026_07
808,112.00299999999999,119.198,,,L,,026_07
809,114.103,117.726,Both,,,,026_07
810,117.726,118.694,,,,momforce,026_07
,118.694,119.198,,,L,,026_07
810,118.694,120.00299999999999,,,,momforce,026_07
811,120.00299999999999,125.398,Both,,,,026_07
811,125.398,128.201,R,,,,026_07
812,128.201,130.695,,Both,,,026_07
,130.695,140.69899999999998,R,,,,026_07
813,133.904,138.19799999999998,L,,,,026_07
814,146.30700000000002,146.496,,,L,,026_07
815,148.002,153.398,,L,,,026_07
816,159.10399999999998,183.201,,L,,,026_07
817,183.201,191.59900000000002,Both,,,,026_07
818,190.605,191.59400000000002,,,,momgrab,026_07
,191.59400000000002,195.497,R,,,,026_07
817,191.59900000000002,190.605,R,,,,026_07
819,192.503,196.2,L,,,,026_07
820,196.2,197.59799999999998,,Both,,,026_07
,197.59799999999998,205.295,L,,,,026_07
821,210.701,216.304,,R,,,026_07
822,216.304,220.49400000000003,,Both,,,026_07
822,220.49400000000003,225.702,,L,,,026_07
823,225.702,226.09900000000002,,Both,,,026_07
,226.09900000000002,234.298,,L,,,026_07
824,227.304,232.8,R,,,,026_07
825,232.8,234.296,,,,momgrab,026_07
,234.296,272.595,R,,,,026_07
826,241.405,251.595,L,,,,026_07
827,251.90400000000002,255.795,,,L,,026_07
828,257.203,265.897,L,,,,026_07
829,268.302,269.798,,,L,,026_07
830,271.003,272.608,,,,momgrab,026_07
831,272.80400000000003,274.401,,,L,,026_07
832,274.401,280.997,,,Both,,026_07
832,280.997,283.2,,,R,,026_07
833,283.2,286.697,,,Both,,026_07
,286.697,312.295,,,R,,026_07
834,287.105,289.395,L,,,,026_07
835,290.002,291.995,,,L,,026_07
836,292.204,294.797,L,,,,026_07
837,294.704,294.802,,,,momgrab,026_07
837,294.802,294.797,,,,momgrab,026_07
838,295.803,298.498,L,,,,026_07
839,300.3,304.79900000000004,L,,,,026_07
840,305.80400000000003,309.998,,,L,,026_07
841,312.20099999999996,312.596,,,,momgrab,026_07
842,314.403,314.406,L,,,,026_07
843,314.406,321.195,Both,,,,026_07
,321.195,323.29900000000004,L,,,,026_07
844,323.504,326.797,,,L,,026_07
845,333.801,333.80199999999996,,L,,,026_07
847,333.80199999999996,336.898,,R,,,026_07
,336.898,345.49699999999996,,L,,,026_07
846,336.898,334.694,,,,momforce,026_07
848,339.801,343.29900000000004,,R,,,026_07
849,348.30199999999996,351.596,,,L,,026_07
850,352.211,353.805,,,R,,026_07
851,353.805,354.199,,,Both,,026_07
,354.199,354.69699999999995,,,R,,026_07
852,356.505,356.995,,L,,,026_07
853,358.811,363.69599999999997,,L,,,026_07
854,366.3,370.695,R,,,,026_07
855,370.801,371.79900000000004,,L,,,026_07
856,374.30400000000003,375.895,,,R,,026_07
857,377.103,384.397,R,,,,026_07
858,385.30300000000005,390.398,,,R,,026_07
859,398.1,399.199,,,R,,026_07
860,403.702,407.296,,,R,,026_07
861,411.904,438.602,,,R,,026_07
862,438.602,439.79699999999997,,,,momgrab,026_07
862,439.79699999999997,439.801,,,,momgrab,026_07
863,443.205,443.4,,L,,,026_07
864,443.4,447.275,,Both,,,026_07
,447.275,449.499,,L,,,026_07
865,454.505,459.401,,,L,,026_07
866,459.401,461.29400000000004,,,Both,,026_07
,461.29400000000004,464.19699999999995,,,L,,026_07
867,464.3,465.689,,L,,,026_07
868,470.301,470.595,,R,,,026_07
869,470.595,489.205,,Both,,,026_07
,470.602,478.79400000000004,,R,,,026_07
871,496.202,496.441,,L,,,026_07
872,96.99,97.6,R,,,,027_07
873,97.6,103.68,Both,,,,027_07
874,98.56,98.86,,,,Momgrab,027_07
,98.86,122.88,L,,,,027_07
873,103.68,98.56,L,,,,027_07
875,105.8,113.46,R,,,,027_07
876,116.82,118.69,R,,,,027_07
877,119.61,124.28,,R,,,027_07
878,124.28,125.09,,,,Momgrab,027_07
879,132.63,143.08,,R,,,027_07
880,139.82,143.48,,L,,,027_07
880,143.48,143.08,,Both,,,027_07
881,144.49,144.83,L,,,,027_07
882,144.83,146.16,,,,Momgrab,027_07
,146.16,161.975,L,,,,027_07
883,146.23,156.59,R,,,,027_07
884,159.6,161.21,,,R,,027_07
885,161.21,161.9,,,,Momgrab,027_07
,161.9,162.17,,,R,,027_07
886,163.21,163.9,,,R,,027_07
887,163.9,170.34,,,Both,,027_07
,170.34,191.58,,,R,,027_07
888,172.04,178.28,,,L,,027_07
889,179.9,180.48,,,L,,027_07
890,183.52,184.97,,L,,,027_07
891,186.91,191.01,,,L,,027_07
892,191.01,191.78,,,,Momgrab,027_07
892,191.78,191.83,,,,Momgrab,027_07
893,193.33,198.6,,,R,,027_07
894,198.6,200.89,,,Both,,027_07
894,200.89,202.02,,,L,,027_07
895,202.02,209.58,,,Both,,027_07
,209.58,209.68,,,L,,027_07
896,221.11,224.57,,,R,,027_07
897,221.12,233.29,,,L,,027_07
898,225.62,231.088,,,Both,,027_07
899,232.51,233.01,,,R,,027_07
900,233.01,233.68,,,,Momgrab,027_07
897,233.29,224.57,,,Both,,027_07
900,233.68,233.73,,,,Momgrab,027_07
901,241.11,244.31,,,R,,027_07
902,244.31,247.16,,,Both,,027_07
,247.16,252.42,,,R,,027_07
903,248.54,253.41,,,L,,027_07
904,253.41,253.98,,,,Momgrab,027_07
904,253.98,254.03,,,,Momgrab,027_07
905,257.44,257.89,,,R,,027_07
906,259.84,260.12,,,R,,027_07
907,260.12,261.68,,,Both,,027_07
,261.68,261.86,,,R,,027_07
908,272.22,277.86,,,R,,027_07
909,284.41,287.3,R,,,,027_07
910,287.3,290.27,Both,,,,027_07
,290.27,295.99,R,,,,027_07
911,293.22,294.59,L,,,,027_07
912,297.3,301.86,R,,,,027_07
913,301.61,301.9,,,,Momgrab,027_07
914,301.62,301.86,Both,,,,027_07
913,301.9,301.62,,,,Momgrab,027_07
915,304.7,309.37,L,,,,027_07
916,310.03,311.06,R,,,,027_07
917,315.53,317.51,,R,,,027_07
918,317.51,319.07,,Both,,,027_07
919,318.81,319.34,,,,Momgrab,027_07
918,319.07,319.29,,L,,,027_07
919,319.34,319.29,,,,Momgrab,027_07
920,324.83,334.48,,R,,,027_07
921,332.83,356.87,,L,,,027_07
922,336.81,356.87,,Both,,,027_07
922,356.87,356.89,,R,,,027_07
921,356.87,334.48,,Both,,,027_07
923,365.73,369.49,,R,,,027_07
924,371.33,372.07199999999995,,,R,,027_07
925,376.32,377.18,,,R,,027_07
926,378.32,378.68,,,R,,027_07
927,383.61,384.98,,,R,,027_07
928,391.98,394.49,,R,,,027_07
929,393.93,394.53,,,,Momgrab,027_07
929,394.53,394.49,,,,Momgrab,027_07
930,411.12,415.82,R,,,,027_07
931,415.82,431.06,Both,,,,027_07
931,431.06,438.53,L,,,,027_07
932,438.53,443.47,Both,,,,027_07
933,441.4,444.27,,,,Momgrab,027_07
932,443.47,441.4,R,,,,027_07
933,444.27,444.28,,,,Momgrab,027_07
934,445.92,450.876,R,,,,027_07
935,452.49,456.7,R,,,,027_07
936,456.7,461.27,Both,,,,027_07
,461.27,461.67,R,,,,027_07
937,126.12,128.41299999999998,,L,,,028_07
938,128.41299999999998,180.87400000000002,,Both,,,028_07
939,179.623,182.195,,,,Momgrab,028_07
938,180.87400000000002,179.623,,R,,,028_07
