index,Begin,End,m,i,a,Mom Actions,File
108,407.51800000000003,409.483,,Both,,,002_07
108,409.483,428.69699999999995,,R,,,002_07
109,434.847,437.96,,R,,,002_07
110,75.012,80.874,,R,,,003_07
111,80.874,81.497,,,,Momgrab,003_07
111,81.497,81.71600000000001,,,,Momgrab,003_07
112,85.46799999999999,86.069,,R,,,003_07
113,87.208,87.921,,R,,,003_07
114,87.921,89.50200000000001,,,,Momgrab,003_07
115,89.50200000000001,91.671,,Both,,,003_07
,91.671,93.773,,,,Momgrab,003_07
,93.773,99.083,,R,,,003_07
116,100.083,105.992,,,R,,003_07
117,124.206,124.73,,,R,,003_07
118,124.73,133.189,,,Both,,003_07
,133.189,149.879,,,R,,003_07
119,150.88299999999998,154.886,R,,,,003_07
120,154.916,155.227,,,,Momgrab,003_07
121,157.76,189.585,,,L,,003_07
123,174.704,178.69,,,Both,,003_07
124,178.69,182.38299999999998,L,,,,003_07
,182.38299999999998,189.585,,,R,,003_07
125,183.365,186.21400000000003,,,L,,003_07
126,186.21400000000003,189.085,,,,Momgrab,003_07
126,189.085,189.507,,,,Momgrab,003_07
127,231.922,233.176,,,R,,003_07
128,233.176,238.53,,,Both,,003_07
128,238.53,240.415,,,L,,003_07
129,240.415,255.48,,,Both,,003_07
,255.48,278.594,,,L,,003_07
130,257.005,264.313,,,R,,003_07
131,264.313,264.89099999999996,,,,Momgrab,003_07
,264.89099999999996,278.777,,,R,,003_07
132,267.95099999999996,269.62,,,,Momgrab,003_07
133,276.732,278.70099999999996,,,,Momgrab,003_07
134,285.615,293.569,L,,,,003_07
135,306.904,307.736,,R,,,003_07
136,306.914,307.81,,,,Momforce,003_07
136,307.81,307.736,,,,Momforce,003_07
137,320.9,321.34,,R,,,003_07
138,325.41700000000003,325.717,,,,Momgrab,003_07
139,325.717,325.98400000000004,,Both,,,003_07
,325.98400000000004,326.017,,,,Momgrab,003_07
140,326.605,327.99800000000005,,,L,,003_07
141,329.463,331.44599999999997,,,R,,003_07
142,339.11400000000003,346.131,,,R,,003_07
143,346.131,347.98900000000003,,,,Momgrab,003_07
143,347.98900000000003,348.6,,,,Momgrab,003_07
144,352.217,358.89,L,,,,003_07
145,65.321,66.711,L,,,,004_07
146,66.711,71.76,Both,,,,004_07
146,71.76,76.399,R,,,,004_07
147,76.722,76.919,,,L,,004_07
148,76.919,84.68299999999999,,,Both,,004_07
